City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,isiro,2.7739,27.616,64.44,99.0,100.0,1.07,CD,1679278409.0
81,mahebourg,-20.4081,57.7,76.24,85.0,20.0,4.99,MU,1679278409.0
82,kudahuvadhoo,2.6708,72.8944,81.07,76.0,71.0,5.39,MV,1679278410.0
83,lokosovo,61.1333,74.8167,10.08,86.0,100.0,13.71,RU,1679278410.0
85,bredasdorp,-34.5322,20.0403,62.69,84.0,2.0,4.07,ZA,1679278411.0
86,leningradskiy,69.3833,178.4167,20.01,95.0,100.0,2.01,RU,1679278411.0
87,jamestown,42.097,-79.2353,28.71,67.0,0.0,10.36,US,1679278393.0
89,matay,28.419,30.7792,52.99,63.0,0.0,6.24,EG,1679278412.0
90,matamoros,25.5333,-103.25,55.51,50.0,0.0,10.36,MX,1679278209.0
91,katsuura,35.1333,140.3,60.21,51.0,6.0,11.05,JP,1679278158.0
92,pyshchug,58.8873,45.7134,17.44,99.0,100.0,3.2,RU,1679278412.0
93,hobyo,5.3505,48.5268,80.38,79.0,100.0,5.86,SO,1679278413.0
94,avarua,-21.2078,-159.775,82.45,83.0,40.0,16.11,CK,1679278413.0
95,dunedin,-45.8742,170.5036,67.68,62.0,100.0,5.26,NZ,1679278336.0
96,provideniya,64.3833,-173.3,24.91,93.0,100.0,17.9,RU,1679278413.0
97,sitka,57.0531,-135.33,42.69,81.0,100.0,8.05,US,1679278330.0
98,arraial do cabo,-22.9661,-42.0278,76.64,88.0,6.0,15.1,BR,1679278414.0
99,ribeira grande,38.5167,-28.7,56.77,77.0,2.0,4.0,PT,1679278414.0
100,chokurdakh,70.6333,147.9167,-16.65,95.0,100.0,17.63,RU,1679278420.0
101,punta arenas,-53.15,-70.9167,46.51,76.0,40.0,32.21,CL,1679278421.0
102,kahului,20.8947,-156.47,80.96,73.0,20.0,12.66,US,1679278214.0
103,punalur,9.0,76.9333,76.84,83.0,100.0,0.67,IN,1679278422.0
104,hasaki,35.7333,140.8333,61.2,46.0,5.0,10.96,JP,1679278422.0
105,bull savanna,17.8868,-77.5902,72.9,84.0,9.0,7.92,JM,1679278422.0
106,norman wells,65.282,-126.8329,26.74,91.0,89.0,7.45,CA,1679278423.0
107,luderitz,-26.6481,15.1594,60.73,83.0,75.0,3.36,NA,1679278423.0
108,maningrida,-12.0667,134.2667,86.52,64.0,88.0,9.22,AU,1679278424.0
109,tagusao,9.1924,117.8141,84.42,69.0,88.0,5.48,PH,1679278424.0
110,bluff,-46.6,168.3333,61.81,92.0,100.0,5.7,NZ,1679278424.0
111,puerto penasco,31.3167,-113.5333,62.91,85.0,100.0,4.0,MX,1679278163.0
112,sao joao da barra,-21.6403,-41.0511,75.7,88.0,2.0,6.96,BR,1679278425.0
113,fukue,32.6881,128.8419,58.3,66.0,100.0,8.21,JP,1679278425.0
114,aksarka,66.5606,67.7975,24.03,92.0,100.0,20.45,RU,1679278425.0
115,biak,-0.9131,122.8766,82.89,71.0,100.0,1.72,ID,1679278426.0
116,albany,42.6001,-73.9662,29.23,58.0,39.0,9.57,US,1679278253.0
117,yongan,39.6957,113.6871,49.69,59.0,86.0,5.46,CN,1679278426.0
118,dikson,73.5069,80.5464,-1.16,94.0,100.0,13.44,RU,1679278426.0
119,urumqi,43.801,87.6005,29.35,64.0,0.0,6.71,CN,1679278427.0
120,faanui,-16.4833,-151.75,81.39,75.0,100.0,10.18,PF,1679278427.0
121,salalah,17.0151,54.0924,78.89,83.0,75.0,4.61,OM,1679278319.0
122,phan thiet,10.9333,108.1,84.61,57.0,2.0,8.08,VN,1679278427.0
123,college,64.8569,-147.8028,40.95,41.0,20.0,6.91,US,1679278428.0
124,suhbaatar,50.2314,106.2078,22.77,82.0,28.0,3.47,MN,1679278428.0
125,yulara,-25.2406,130.9889,96.03,19.0,9.0,13.31,AU,1679278428.0
126,alausi,-2.2,-78.8333,47.7,92.0,100.0,1.59,EC,1679278429.0
127,palmerston north,-40.35,175.6167,75.06,73.0,41.0,4.0,NZ,1679278358.0
128,zholymbet,51.7433,71.7122,-6.16,100.0,52.0,0.76,KZ,1679278429.0
129,irtyshskiy,58.3333,68.1333,21.2,65.0,100.0,14.41,RU,1679278429.0
130,bafia,4.75,11.2333,70.32,92.0,100.0,4.25,CM,1679278430.0
131,hambantota,6.1241,81.1185,75.54,100.0,40.0,4.61,LK,1679278430.0
132,kaohsiung,22.6163,120.3133,82.35,61.0,40.0,3.0,TW,1679278430.0
133,balakovo,52.0278,47.8007,35.67,92.0,54.0,6.11,RU,1679278431.0
134,port augusta,-32.5,137.7667,79.77,34.0,100.0,12.64,AU,1679278431.0
136,portland,45.5234,-122.6762,50.81,91.0,100.0,11.5,US,1679278246.0
137,eyl,7.9803,49.8164,78.13,71.0,100.0,6.89,SO,1679278431.0
138,osorno,-40.5667,-73.15,50.31,76.0,75.0,5.75,CL,1679278192.0
139,thompson,55.7435,-97.8558,-5.73,100.0,96.0,3.91,CA,1679278432.0
140,nome,64.5011,-165.4064,11.16,72.0,0.0,14.97,US,1679278432.0
141,barrow,71.2906,-156.7887,-0.38,78.0,0.0,10.36,US,1679278433.0
142,cabo san lucas,22.8909,-109.9124,73.62,76.0,0.0,9.22,MX,1679278159.0
143,swan hill,-35.3378,143.5544,77.47,23.0,100.0,14.83,AU,1679278244.0
144,namibe,-15.1961,12.1522,75.38,78.0,90.0,4.85,AO,1679278433.0
145,sete,43.4018,3.6966,53.46,62.0,0.0,17.49,FR,1679278433.0
146,camacha,33.0833,-16.3333,60.22,72.0,40.0,6.91,PT,1679278434.0
147,sovetskiy,61.3614,63.5842,24.48,82.0,100.0,13.69,RU,1679278434.0
148,tiksi,71.6872,128.8694,-17.12,87.0,100.0,11.07,RU,1679278434.0
149,gerash,27.6652,54.1371,60.24,34.0,100.0,4.25,IR,1679278435.0
150,bogovarovo,58.9785,47.0246,16.23,99.0,100.0,3.36,RU,1679278440.0
152,oxapampa,-10.5775,-75.4017,58.48,98.0,100.0,2.86,PE,1679278440.0
154,codrington,-38.2667,141.9667,63.5,47.0,0.0,19.44,AU,1679278441.0
155,lima,-12.0432,-77.0282,75.9,78.0,0.0,9.22,PE,1679278441.0
156,el escorial,40.5914,-4.1474,44.04,70.0,97.0,1.86,ES,1679278442.0
157,port elizabeth,-33.918,25.5701,70.09,96.0,0.0,11.5,ZA,1679278442.0
158,kidal,18.4411,1.4078,77.36,7.0,0.0,9.84,ML,1679278443.0
159,druzhba,52.0428,33.9453,30.65,89.0,13.0,3.67,UA,1679278443.0
160,japura,-0.3167,102.35,81.81,80.0,70.0,1.19,ID,1679278444.0
161,aykhal,66.0,111.5,-23.67,98.0,100.0,10.04,RU,1679278444.0
162,saint george,37.1041,-113.5841,45.43,86.0,100.0,3.44,US,1679278416.0
163,guerrero negro,27.9769,-114.0611,64.44,53.0,100.0,14.03,MX,1679278446.0
164,port macquarie,-31.4333,152.9167,82.89,66.0,28.0,9.13,AU,1679278446.0
165,caravelas,-17.7125,-39.2481,75.69,85.0,0.0,4.76,BR,1679278447.0
166,cuenca,-2.8833,-78.9833,55.53,88.0,20.0,4.61,EC,1679278447.0
167,adrar,20.5022,-10.0711,68.5,22.0,0.0,10.87,MR,1679278447.0
170,la ronge,55.1001,-105.2842,4.48,96.0,46.0,6.13,CA,1679278448.0
171,hirara,24.8,125.2833,73.26,83.0,75.0,20.71,JP,1679278448.0
172,querecotillo,-4.8378,-80.6456,79.63,76.0,100.0,6.38,PE,1679278449.0
173,ndioum,16.5129,-14.6471,83.01,13.0,0.0,16.02,SN,1679278449.0
174,lithakia,37.7167,20.8333,40.37,75.0,41.0,6.89,GR,1679278449.0
175,vung tau,10.346,107.0843,80.29,76.0,5.0,11.05,VN,1679278450.0
176,fortuna,40.5982,-124.1573,54.93,86.0,100.0,1.99,US,1679278450.0
177,kavaratti,10.5669,72.642,81.91,60.0,79.0,7.96,IN,1679278450.0
178,darhan,49.4867,105.9228,29.8,62.0,16.0,3.06,MN,1679278451.0
